sample_datetime bat f id lat lon num sample_datetime_x temp x y z igrfx igrfy igrfz igrff buoy_datetime WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE buoy_lat buoy_lon buoy_id sample_datetime_y mins_diff
"2012-09-05 00:20:27" 13.1 159635.76232 000000000068740 48.1198 -127.9752 1 "2012-09-05 00:20:27" 13.37 126720.6336 96400.482 126720.6336 18763.1306406 5895.37114396 49648.440315 53402.0420777 "2012-09-05 00:20:00" 298 2.7 3.3 99.0 99.0 99.0 999 1021.5 11.7 11.2 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 00:20:27" 0.0
"2012-09-05 00:40:33" 13.1 160047.233633 000000000068740 48.1191 -127.9767 2 "2012-09-05 00:40:33" 13.35 126840.6342 96780.4839 126840.6342 18763.6438911 5895.49923909 49647.5750474 53401.4321103 "2012-09-05 00:50:00" 288 3.4 4.1 1.39 7.69 6.21 277 1021.4 11.6 11.3 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 00:40:33" 9.0
"2012-09-05 01:20:22" 13.1 158695.445487 000000000068740 48.1186 -127.9776 4 "2012-09-05 01:20:22" 13.29 126440.6322 94993.8083 126440.6322 18763.9917283 5895.5766319 49646.9929495 53401.0216974 "2012-09-05 01:20:00" 289 3.1 3.7 99.0 99.0 99.0 999 1021.1 11.6 10.7 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 01:20:22" 0.0
"2012-09-05 01:40:27" 13.1 155040.943186 000000000068740 48.1187 -127.9777 5 "2012-09-05 01:40:27" 13.26 125133.959 89680.4484 125133.959 18763.952939 5895.57561576 49647.037851 53401.0497005 "2012-09-05 01:50:00" 227 1.6 1.9 1.37 8.33 6.32 282 1020.9 11.4 10.6 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 01:40:27" 9.0
"2012-09-05 02:00:36" 13.1 162323.803893 000000000068740 48.1191 -127.9778 6 "2012-09-05 02:00:36" 13.24 127973.9732 99520.4976 127973.9732 18763.7647447 5895.55975697 49647.2996103 53401.2251811 "2012-09-05 01:50:00" 227 1.6 1.9 1.37 8.33 6.32 282 1020.9 11.4 10.6 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 02:00:36" 10.0
"2012-09-05 02:20:32" 13.1 160973.324118 000000000068740 48.1198 -127.9781 7 "2012-09-05 02:20:32" 13.23 126780.6339 97913.8229 126780.6339 18763.4490844 5895.54187763 49647.7308627 53401.5132313 "2012-09-05 02:20:00" 213 1.5 1.8 99.0 99.0 99.0 999 1020.7 11.1 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 02:20:32" 0.0
"2012-09-05 02:40:36" 13.1 159099.468719 000000000068740 48.1203 -127.9777 8 "2012-09-05 02:40:36" 13.22 126840.6342 95367.1435 126840.6342 18763.1562172 5895.4891039 49648.1834374 53401.825265 "2012-09-05 02:50:00" 196 2.1 2.7 1.45 8.33 6.8 276 1020.6 11.2 10.6 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 02:40:36" 9.0
"2012-09-05 03:20:03" 13.1 158414.962172 000000000068740 48.1213 -127.975 10 "2012-09-05 03:20:03" 13.19 126147.2974 94307.1382 126147.2974 18762.3619695 5895.26209256 49649.5390485 53402.7814776 "2012-09-05 03:20:00" 201 2.4 2.9 99.0 99.0 99.0 999 1020.5 11.4 10.6 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 03:20:03" 0.0
"2012-09-05 03:40:24" 13.1 159367.716307 000000000068740 48.1213 -127.9728 11 "2012-09-05 03:40:24" 13.18 127300.6365 95353.8101 127300.6365 18762.1205956 5895.11883758 49650.0567762 53403.1622026 "2012-09-05 03:50:00" 221 3.3 3.9 1.4 8.33 6.9 279 1020.4 11.5 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 03:40:24" 9.0
"2012-09-05 04:00:00" 13.1 163249.148001 000000000068740 48.1209 -127.9706 12 "2012-09-05 04:00:00" 13.18 127707.3052 101040.5052 127707.3052 18762.0784546 5894.99543483 49650.2855059 53403.3464301 "2012-09-05 03:50:00" 221 3.3 3.9 1.4 8.33 6.9 279 1020.4 11.5 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 04:00:00" 10.0
"2012-09-05 04:40:35" 13.1 155301.44231 000000000068740 48.1182 -127.9673 2 "2012-09-05 04:40:35" 13.18 125393.9603 90093.7838 125393.9603 18763.0612384 5894.9127876 49649.1085864 53402.5883946 "2012-09-05 04:50:00" 214 2.3 2.8 1.32 9.09 7.11 274 1020.5 11.2 10.8 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 04:40:35" 9.0
"2012-09-05 05:00:32" 13.1 155739.289737 000000000068740 48.1168 -127.9665 3 "2012-09-05 05:00:32" 13.19 125853.9626 90660.4533 125853.9626 18763.6707773 5894.92836093 49648.2825319 53402.0362887 "2012-09-05 04:50:00" 214 2.3 2.8 1.32 9.09 7.11 274 1020.5 11.2 10.8 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 05:00:32" 10.0
"2012-09-05 05:20:36" 13.1 161749.79466 000000000068740 48.1161 -127.9658 4 "2012-09-05 05:20:36" 13.18 127400.637 98820.4941 127400.637 18763.9426464 5894.91569575 49647.9387522 53401.810803 "2012-09-05 05:20:00" 228 2.3 2.8 99.0 99.0 99.0 999 1020.4 11.2 10.8 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 05:20:36" 0.0
"2012-09-05 05:40:24" 13.1 154124.88655 000000000068740 48.1144 -127.9654 5 "2012-09-05 05:40:24" 13.19 125080.6254 88300.4415 125080.6254 18764.7454403 5894.9717026 49646.8009803 53401.0412857 "2012-09-05 05:50:00" 221 2.1 2.6 1.44 8.33 7.49 284 1020.2 11.1 10.8 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 05:40:24" 9.0
"2012-09-05 06:20:31" 13.1 160069.671494 000000000068740 48.1116 -127.963 7 "2012-09-05 06:20:31" 13.19 126380.6319 96927.1513 126380.6319 18765.8766344 5894.95149641 49645.3382624 53400.0766872 "2012-09-05 06:20:00" 209 2.1 2.5 99.0 99.0 99.0 999 1019.9 11.0 10.7 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 06:20:31" 0.0
"2012-09-05 06:40:03" 13.1 161799.659697 000000000068740 48.1099 -127.9621 8 "2012-09-05 06:40:03" 13.19 127093.9688 98960.4948 127093.9688 18766.6244984 5894.97546106 49644.3189343 53399.3945022 "2012-09-05 06:50:00" 219 1.9 2.5 1.51 9.09 7.26 281 1019.7 11.0 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 06:40:03" 9.0
"2012-09-05 07:00:00" 13.1 160086.633101 000000000068740 48.1089 -127.9613 9 "2012-09-05 07:00:00" 13.18 127053.9686 96660.4833 127053.9686 18767.0347444 5894.97118036 49643.781902 53399.0389412 "2012-09-05 06:50:00" 219 1.9 2.5 1.51 9.09 7.26 281 1019.7 11.0 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 07:00:00" 10.0
"2012-09-05 07:40:35" 13.1 159888.166737 000000000068740 48.1075 -127.9604 11 "2012-09-05 07:40:35" 13.17 127247.3029 96100.4805 127247.3029 18767.6332259 5894.97770767 49642.9755533 53398.5003615 "2012-09-05 07:50:00" 212 2.2 2.6 1.53 10.0 7.63 278 1019.5 11.2 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 07:40:35" 9.0
"2012-09-05 08:20:20" 13.1 160285.564268 000000000068740 48.1059 -127.959 1 "2012-09-05 08:20:20" 13.16 127160.6358 96640.4832 127160.6358 18768.2764388 5894.96217227 49642.1432481 53397.950951 "2012-09-05 08:20:00" 219 3.0 4.0 99.0 99.0 99.0 999 1019.3 10.9 10.5 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 08:20:20" 0.0
"2012-09-05 08:40:36" 13.1 162535.197957 000000000068740 48.1057 -127.9582 2 "2012-09-05 08:40:36" 13.15 127313.9699 99927.1663 127313.9699 18768.2883341 5894.91831841 49642.1845752 53397.9887109 "2012-09-05 08:50:00" 215 4.0 4.9 1.43 9.09 7.06 286 1019.2 10.8 10.4 999.0 99.0 99.0 48.494 -124.728 46087 "2012-09-05 08:40:36" 9.0
