sample_datetime bat grf12 id lat lon num sample_datetime t x y z
"2012-07-30 17:33:52" -1.0 52569.222634856626 000000000019370 42.3676 -71.1991 12 "2012-07-30 17:33:52" 30.27 -10499.5 -78890.7 -22737.9
"2012-07-30 17:39:59" 14.2 52569.22134526934 000000000019370 42.3676 -71.1991 1 "2012-07-30 17:39:59" 30.7 -13129.2 -85175.6 -52756.6
"2012-07-30 17:39:59" 14.2 52569.22134526934 000000000019370 42.3676 -71.1991 2 "2012-07-30 17:39:59" 30.12 -87973.2 -80854.4 -38276.9
"2012-07-30 18:20:00" 14.2 52569.2129084877 000000000019370 42.3676 -71.1991 3 "2012-07-30 18:20:00" 30.12 -100457.4 -67813.9 -55859.6
"2012-07-30 18:20:00" 14.2 52569.2129084877 000000000019370 42.3676 -71.1991 4 "2012-07-30 18:20:00" 31.59 -9910.3 -40492.6 -49167.7
"2012-07-30 19:00:00" 14.2 52569.26958849066 000000000019370 42.3677 -71.1992 5 "2012-07-30 19:00:00" 37.8 -10000.4 -40718.4 -49208.3
"2012-07-30 19:00:00" 14.2 52569.26958849066 000000000019370 42.3677 -71.1992 6 "2012-07-30 19:00:00" 41.06 -10050.9 -40808.9 -49242.8
"2012-07-30 19:39:59" 14.2 52569.27941350668 000000000019370 42.3677 -71.1993 7 "2012-07-30 19:39:59" 42.95 -10057.9 -40861.5 -49245.7
"2012-07-30 19:39:59" 14.2 52569.27941350668 000000000019370 42.3677 -71.1993 8 "2012-07-30 19:39:59" 42.78 -10014.6 -40870.2 -49238.2
"2012-07-30 20:20:01" 14.2 52569.25271845256 000000000019370 42.3677 -71.1992 9 "2012-07-30 20:20:01" 42.61 -9972.4 -40874.0 -49218.0
"2012-07-30 20:39:59" 14.2 52569.26676359896 000000000019370 42.3677 -71.1993 10 "2012-07-30 20:39:59" 42.62 -9934.9 -40872.2 -49212.4
"2012-07-30 20:39:59" 14.2 52569.26676359896 000000000019370 42.3677 -71.1993 11 "2012-07-30 20:39:59" 42.42 -9894.5 -40864.1 -49204.1
"2012-07-30 21:20:00" 14.2 52569.2400720757 000000000019370 42.3677 -71.1992 12 "2012-07-30 21:20:00" 41.09 -9823.5 -40847.4 -49177.0
"2012-07-30 21:20:00" 14.2 52569.2400720757 000000000019370 42.3677 -71.1992 1 "2012-07-30 21:20:00" 41.36 -9806.2 -40849.0 -49176.6
"2012-07-30 22:00:00" 14.2 52569.23163881653 000000000019370 42.3677 -71.1992 2 "2012-07-30 22:00:00" 41.15 -9766.1 -40845.3 -49151.6
"2012-07-30 22:00:00" 14.2 52569.23163881653 000000000019370 42.3677 -71.1992 3 "2012-07-30 22:00:00" 40.21 -9709.2 -40822.3 -49129.8
"2012-07-30 22:39:59" 14.2 52569.17635057496 000000000019370 42.3676 -71.1992 4 "2012-07-30 22:39:59" 38.83 -9651.7 -40801.1 -49114.9
"2012-07-30 22:59:59" 14.2 52569.218992443406 000000000019370 42.3677 -71.1992 5 "2012-07-30 22:59:59" 37.67 -9604.7 -40782.4 -49104.3
"2012-07-30 23:20:00" 14.2 52569.214772301064 000000000019370 42.3677 -71.1992 6 "2012-07-30 23:20:00" 36.48 -9561.7 -40761.8 -49093.3
"2012-07-30 23:39:59" 14.2 52569.210559186664 000000000019370 42.3677 -71.1992 7 "2012-07-30 23:39:59" 34.9 -9509.2 -40729.8 -49073.7
"2012-08-01 00:00:00" 14.2 52568.92099679568 000000000019370 42.3677 -71.1993 8 "2012-08-01 00:00:00" 32.64 -9459.3 -40670.0 -49067.2
"2012-07-31 00:20:00" 14.2 52569.202122417104 000000000019370 42.3677 -71.1992 9 "2012-07-31 00:20:00" 30.94 -9414.3 -40634.8 -49065.0
"2012-07-31 00:39:59" 14.2 52569.19790930341 000000000019370 42.3677 -71.1992 10 "2012-07-31 00:39:59" 29.71 -9394.3 -40600.1 -49073.9
"2012-07-31 01:00:00" 14.2 52569.21194384372 000000000019370 42.3677 -71.1993 11 "2012-07-31 01:00:00" 28.74 -9377.9 -40581.7 -49083.0
